Genes	N.Sequences	N.Proteotypic.Sequences	a2	a3	a6	a7	a4	a8	a9	a10	b2	b3	b4	b7	b8	b11	b12	b13	b1	b6	b5	b10	b9	b14	b15	b16	b19	b17	b18	b20	b21	t1	t2	t3	c1	c2	c3	c4	c5	d2	d1	d3	d4	d5	d6	d7	d8	d9	e1	e2	e3	e4	e5	e6	e7	e8	e9	e2	e10	e11	e12	e13	f1	f2	f3	f5	f4	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	v1	v2	v3	v4	v5	g1	g2	g3	g4	g5	g6	g7	h1	h2	h3	h4	h5	h6	h7	h8
TRAF3IP3	4	4	13813.2		7623.62	11223.3	6303.23	13050.9									7423.88					10707.8	23073.5	5018.5	13053.7	7907.85			9649.59	4154.09		15342.8	8317.0				18701.9	27030.7		21640.9	25440.4	28688.6		11990.0	43766.0	13808.5	12602.6	16959.2					4714.34						7604.87	3204.78	3922.44	5888.58			3954.37	3890.92	7514.9	3112.16	6746.55	3662.95	3568.2	3957.29	5272.23		4658.23	2944.25		4338.96	3530.84	2529.11		6351.2	18818.7	13218.9	16545.0	29672.6	6079.9	16679.5	6812.16		11645.2	12010.8	7071.9	11030.7	6939.74		6144.54
TRAF6	5	5	4766.1					5310.16																		4084.42			7584.59	5662.58		6522.15	5106.3								5241.56	7454.58				4788.46			6889.56	8929.5		8242.85	6025.11			12955.4	8109.89	5088.11	4870.32	6317.91	7100.64	7369.76	7894.13	6008.29	7584.08	7726.07	10205.6	8326.73	7956.49	7800.11	8201.55	7108.02	7110.86			3693.63		6062.43	6085.45	4887.64	4864.63	4892.56			3815.69	5677.76	4614.54	4099.89	12142.6		5596.47	6806.19		5245.49	6597.94	6571.37	5481.02
TRAFD1	7	7	23659.4		28744.0		12608.2	31364.4									63559.8					33780.5	22148.4	25097.6		35143.0	23744.1		25364.3	26205.4		31223.0	18170.8				40247.0	35868.4			36858.6	26256.4		48889.3	41808.2	27395.2		35514.7	59143.1			49592.1	75635.3			34594.6	60921.6	38598.1	71001.3	50336.8	32745.2	52228.6	63391.4	26235.4	67045.3	68878.3	60345.3	63837.5	105022.0	60204.4	82457.0	72155.4	57516.3	82412.7	72859.4	68906.9	70930.2	54793.8	76347.7	50878.8		68321.7	53776.8	47053.3	75425.4	53411.9	65440.3	53851.5	68358.0	51038.5	56366.1	69710.7	80670.3	74919.7	81450.0	75994.4	59169.9
TRAM1	8	8	66283.4		47184.5	71172.0	61656.5	72577.7	97772.5	114227.0	144168.0		161316.0	296248.0	485004.0	195642.0	93216.2		90141.5		80105.5	44127.1	66977.0	55244.7	90356.6	63135.8	93914.1	87987.1	100912.0	81588.8	92201.8	71385.8	68588.0	63565.9	101387.0		53229.9	88885.3	74785.7	59978.0	39104.8	59516.7	78564.9	111588.0	70558.7	100798.0	80548.7	89621.0	53381.5	40763.4	28235.1	70993.0	47587.1	65848.0		100869.0	58750.2	73585.8	44111.5	60191.4	67601.2	51133.7	45246.0	57154.3	48537.5	41383.7	37022.3	42782.5	40497.1	36368.1	36833.0	42435.8	65017.4	67870.2	62695.6	63445.1	66085.6	47282.3	57094.0	58905.1	45692.5	68291.1	62709.8	66766.2	71558.4	54249.7	62723.4	78137.7	73571.0	80965.6	87815.5	63003.8	40996.3	49704.4	49983.1	57057.6	69802.0
TRANK1	5	5						3615.66									5441.28										2513.69					2255.38					10280.6			7021.65	3658.46				10025.0	2211.5		8876.37				2272.28	2310.99							1586.73	1615.18										1824.21	1116.74						3341.09										3973.07			4353.3					2300.92	
TRAP1	29	29	30352500.0	23679700.0	37538800.0	27934600.0	25766900.0	31711200.0	18431600.0	22410300.0	17608800.0		30090000.0	23488800.0	24219200.0	28532800.0	13913200.0		27780900.0		14606500.0	27458300.0	17452700.0	14627900.0	27624600.0	23862500.0	18212700.0	19656200.0	23449000.0	19801500.0	13323100.0	19190800.0	18177600.0	22217700.0	9843660.0	23294800.0	10259200.0	12781000.0	8957820.0	17814700.0	11314800.0	11254700.0	14545800.0	19638600.0	17426500.0	11710100.0	18312600.0	10196900.0	33541800.0	41317900.0	38360400.0	44329300.0	35449900.0	34786800.0	23812100.0	25259800.0	38246700.0	27610400.0	28963200.0	34357100.0	34328000.0	39807700.0	45063900.0	29917600.0	30930800.0	41114600.0	27018300.0	43636400.0	38930400.0	32039200.0	29109800.0	32478200.0	36356800.0	17420800.0	29040000.0	25191300.0	46657100.0	35688300.0	34644000.0	31026600.0	39108100.0	35240200.0	16698100.0	16565200.0	16749100.0	15516600.0	29886200.0	12093200.0	33714100.0	22990400.0	19523800.0	31858600.0	35125700.0	29352100.0	29990200.0	23629200.0	42620800.0
TRAPPC1	4	4	15592.6		14830.0		16654.6	16910.5														27911.9	12304.3	10686.9	20348.0	13624.2	10822.2	11551.3	19127.5	14455.5		13219.1	4070.93	18727.4	15106.4		26712.8	16082.1	30938.7		30636.2	22409.9		24078.0	23096.0	27498.9	10675.7	23521.9	23870.8	31464.2	27192.3	19669.5	17261.2			47880.4	23187.0	15850.9	20354.6	20511.4	20701.8	15838.0	30937.9	40101.3	16755.8	20958.8	19029.8	26046.5	23034.0	24188.2	24621.3	21299.8	22866.3		16335.4	15890.9	15650.7	29119.0	18665.5	22804.8	21864.0	17679.2	37269.2	19405.1	15120.7	25084.2	28729.0	24222.3	21006.9	30511.0	21331.1	20325.1		21502.0	26208.5	26131.3	21004.7
TRAPPC10	5	5																												1095.55			839.345								1594.56			2608.21		1512.66							900.989			964.346	809.967			1130.29	2221.45			1112.31	1492.8		772.615		390.396	647.777	825.166	764.148			1037.7	1130.11		1085.94	1650.65	1494.09				2628.31		818.562	1919.44	2803.79	1562.92							1225.52	678.49
TRAPPC11	4	4	1491.7		2219.3	2594.87	1403.59	2059.74														2987.29		2944.76	3658.18	2568.66	3496.12	1563.47	2268.81	2179.79		2383.12	3005.62		3108.73		4236.79		2705.4	2431.11	4366.2	2406.29		4677.77	3533.01	3881.03		1857.04	1991.93		4527.93	3936.43	1904.02			8162.45	2004.26		2343.7	2559.88	1305.02	2565.89		5235.77	2477.76	2371.84	2928.07	2785.46	1980.63	1447.81	2707.62	1701.32	2582.24		2827.57	1250.49	3063.1	2463.11	1928.61	2790.75	1834.39	1699.04	2970.78	4701.55	3021.5	5018.25	3067.24	3948.8	3253.44		5921.77	4394.26	2579.38	2973.0	2380.35	3299.86	1920.19
TRAPPC12	8	8						4171.28					18224.0									4038.82			5372.04		5818.6	5822.0	7512.95	5803.97			3734.83				5158.79				7771.46	3991.17				7585.74		8154.72					5150.34			8512.21	4755.24		4273.76	4356.31	4411.3			7353.11	7835.43	5593.65	4970.15	5208.18	4377.99	5174.74	5218.19	7634.7	5990.2	8283.44	5991.7	6055.46		6799.07	4212.71	5034.72	3941.91	5427.84	6084.31	8463.56		8449.15	8610.64	11833.1	5131.33	10227.9	10030.5	5672.13		8171.43	8659.32	6887.66	5361.84
TRAPPC13	2	2				5294.74		4425.54												12862.7		5100.32		4441.79	6658.9	3386.22				2524.5		3652.69					7195.32				5160.34	6102.27			3782.23	5545.01		7690.49	2957.42		3141.32		3459.74			7551.94	3593.91		5450.28	3638.35	3053.49		3430.13	9964.75	4591.32	6491.51	2272.36	4577.48	4609.45	3093.5	4646.96	5547.22	2855.0		4239.62	3237.42		3110.37				4985.71				6107.9	3900.14	6850.25	3297.96		3595.55	5030.23	3676.42	4449.23	2090.43	6161.03	3044.34
TRAPPC3	5	5	135668.0		131882.0	158255.0	115807.0	129856.0	113197.0	259446.0			191299.0				96745.2		193527.0			228640.0	204660.0	118214.0	173377.0	143955.0	143257.0	149785.0	154067.0	138432.0	217267.0	153505.0	104107.0	152281.0	170270.0	226411.0	196080.0	127513.0	101371.0	170153.0	189437.0	183525.0		200938.0	252219.0	148362.0	227796.0	246220.0	148404.0	238759.0	228258.0	154913.0	191812.0	199517.0		221189.0	208589.0	117281.0	241049.0	198687.0	173026.0	230909.0	200355.0	215835.0	143861.0	174281.0	186257.0	176877.0	216195.0	194384.0	208171.0	197530.0	154875.0	85958.4	191668.0	148528.0	187319.0	220250.0	138734.0	153244.0	164393.0	157962.0	158953.0	192149.0	102840.0	215269.0	163434.0	195727.0	190826.0	208403.0	159242.0	184024.0	227164.0	260937.0	279901.0	194648.0	167269.0
TRAPPC4	7	7	6977.71					8837.26									5885.23					12773.7	9939.81	5637.34	8472.43	7355.26	7183.65		7900.35	7575.02	8546.11	11597.0	6832.21	8019.73	24276.1		16185.5	11075.8	10968.6	12038.9	14304.4	13522.2	19069.9	16052.4	6641.0	13434.3	15116.6	11529.7	10569.5	9656.55	8440.39	9903.83	9310.93	9418.85	26349.1	15470.4	11305.5	8886.76	11132.1	9690.7	10411.1	7405.6	14836.8	14282.9	8087.18	8810.75	12616.3	14576.3	9749.33	10422.2	12076.7	11355.4	13549.1		9930.38	10938.4	11279.5	12669.9	7789.11	8447.85	9635.82	8900.6	11831.8	11332.5	8384.73	9268.06	12653.9	10322.1	8967.23	18374.3	8232.78	10325.2	11377.5	13120.1	9917.26	9211.48	9133.31
TRAPPC5	5	5	16504.7		16064.2	26392.0	21206.0	25333.7					28366.1									22248.1	23012.8	16643.0	29932.7		23774.7	28635.6	19123.6	21128.6			21017.5	21629.9	20429.6		27131.8		30417.4		33216.8	22818.0		28101.9	40843.2	27274.0	16541.1	37051.8	23377.3	16784.6	22788.2	22241.9	24412.6			32157.2	24468.4		20002.3	22223.5	18314.5	22711.3	23451.1	18849.1	21196.6	16098.0	21515.9	22007.6	30296.2	17559.5	21902.3	23847.3	19125.5	20025.4	26214.6	23914.8	26591.7	21614.3	24076.2	18691.4	26684.3	24095.7	28845.3	23430.0	31269.3	23936.3	17999.8	26593.4	27493.7		28945.5	20714.5	29823.3	15134.8	35565.7	29390.8	19187.9
TRAPPC6A	1	1																							2409.81					1161.1					5847.63											1348.01						2269.46	3075.53				1858.96		2540.42	2223.09	2730.82				3323.75	2971.07	3576.05	2957.33	3882.23		3415.94	3859.98	2323.83			2466.3		4015.64	2449.66	3285.18	5060.38	4577.41		1081.43			4098.87		5019.75				2983.42	2005.0	2987.01		4224.74
TRAPPC6B	2	2	37112.8			20037.3		51250.1										136429.0					36876.0	37271.4		59513.7		62400.5	38490.4	29008.7		59968.8					71348.0		79875.0		54964.1			86411.6	65885.6	40347.7			30473.3		31086.7		26046.9				46687.9		64752.0	32706.3	34381.1			54550.2		42064.4	27970.3	51740.7	26751.2	30025.3	50762.3	45400.4	41097.4		35505.3	40578.9	44411.9	44559.4	21054.1	19526.2	52453.8	29836.1	69126.9	41786.2	60086.5	46226.3	50618.8	52434.5			42282.7	41270.9	49623.5	42341.7	80512.4	57987.0	33979.8
TRAPPC8	8	8	52077.0		40611.7			64047.9														50774.4		69796.1	53626.5	47214.1	45630.1	55098.6	68243.2	60237.8	66788.0	32444.1	46897.1	49110.0			47887.6		84231.5		67698.9	50812.4				62362.7			42628.4			50549.5	54821.6			86061.0	57249.8	35710.8	50195.7	39482.2	42907.8			62476.8	48142.1	49564.1	51609.4	55409.4	50144.0	46556.9	49796.2	58222.4	35192.8		45561.3	44985.8		52336.0	41761.5	37836.2		44537.4	66839.9	86838.6	45566.0	70963.5	92621.0	73657.4	38162.5	68952.9	54751.9	69934.9	35619.7	41009.8	46926.1	81277.6	41468.6
TRAPPC9	11	11	11237.3		10958.3	13519.4		12744.2														12622.7	12282.0	9014.85	18395.8	12494.4	11293.7	19404.1	10837.6	12076.1				18404.5			8343.82	15010.0	18255.5	16207.7	19702.2	25548.6		16449.7	20312.5	22918.5	15014.7	17214.9	13840.4		12051.7	15743.6	16993.1	11040.1		15145.0	15485.1		14151.5	10964.3	10965.8		14193.3	16234.0	18204.7	11665.3	17303.9	17401.8	15584.0	15068.1	18711.6	13068.9	12240.2		13198.0	13727.4	20953.2	13811.7	11104.3	12574.9	13089.7	16590.9	22186.3	27160.4		19010.0	18526.4	19422.6	12110.9		17132.3	19907.7	14070.0	13879.4	15731.2	22178.3	11489.5
TRB;TRBC1;TRBC2	1	0																	22041.1																18432.9		4675.48			9177.12	4541.83					2147.9													4632.1										2005.56															5220.66		5031.76	3632.11	2482.97		6373.27	4010.74	3946.69					
TREX1	1	1																																														31865.6											14025.4		11185.1							6474.93	14723.5							7900.23			21957.9			12925.0						26578.8						20040.1			
TREX2	8	8	61661.0	333155.0				31703.6	52754.7	184253.0	124019.0						88324.3	80576.3		103756.0		44698.3			130913.0	79530.0		143996.0	69186.6	27739.8	76340.9	58938.9	55111.2	112402.0				223167.0	128849.0		43396.9	47502.7	144493.0	37074.7				43890.1	25687.1	190133.0	105208.0	34904.2	23540.6			985359.0	23469.4	80093.0		14906.0	66502.6		32083.7	918893.0	76898.8		14393.3	15254.3				130516.0	33371.3	94047.9			45309.1	24768.2	20283.9	177463.0	43481.1	57773.1			70297.6		25609.4	166562.0	42647.2	88636.0						351637.0	14338.0
TRIM11	2	2	1773.45					2662.14														3129.97							2228.61	3074.49											2186.76								1963.75	1790.03	2804.65						1904.47		2107.26	2017.42	927.123			1318.71	1968.69	2145.37	2518.1		1232.87	1591.98	2654.32	1743.96			822.451	819.038		2644.66	1663.14			2785.8			4241.43		914.185	2816.48				1287.33	1849.28		909.68		1848.88
TRIM14	5	5	1649.2		4020.11	4153.53		3237.28														9733.61		4447.79	6492.58	5307.17		8570.7	6214.82	5532.33				8159.8	5539.49		10357.9	5721.86		6771.78	9333.91	7509.02		10538.5	9829.88	5406.55	10191.4	4579.75	4142.9	7653.81	6241.15	8534.62	7436.61			5154.33	3557.77		11249.8	5907.04	4448.31		5093.98	5182.04	8593.08	9996.43	10633.4	8043.2	10190.4	8079.78	10179.3	9511.79	5772.45		10338.3	5095.45	3464.33	7238.01	5568.58	7228.55	7627.75	6493.3	8379.51	5770.67	7188.31	6257.71	9717.3	7056.27	9832.87	11107.6	9584.24	10429.8	12880.9	11988.7	18450.7	7619.46	10063.8
TRIM16	13	7	13285.1		18782.7		11106.1	12080.5																11410.9	16429.3	11188.2		11916.8	11044.3	16135.3		14933.9	10021.7	5076.28				27223.0			16009.2	8947.42		12936.0	14860.9	13469.8			14719.8	22742.6	15919.1	16845.4	15365.8			43988.1	15238.0	15606.5	12504.0	17475.3	15061.5	17788.8	15065.3	67036.2	11410.8	9853.48	12914.8	10294.3	7922.37	11073.1	8425.75	14695.9	14420.0		15320.5	13268.5		15910.0	13439.6	11575.0	10903.9	16370.8	37438.5	10449.7	17496.2	13171.8	11620.1	16372.4	10802.5		25847.8	13526.5	14519.0	10549.2	10887.5	22677.6	9873.9
TRIM2	16	15	37723.9		42464.4		41370.8	30807.5									39304.4				65436.3	33534.9		65569.6	33206.3	41948.8	35591.7	36173.4	54257.3	56638.1	30122.5	51512.3	85628.5	53469.8			27760.3				16350.5	30226.7	61614.5	39686.1		35488.8	34945.8		85137.9	53217.9	51279.2	106636.0	65263.2	28402.0		37057.1	96365.4	73436.4	45860.8	76205.8	52923.7	63924.2	96496.1	32324.2	84696.5	65045.5	39132.6	42287.2	45313.4	50323.6	49259.1	50088.0	39711.1	71614.7	36945.1	60290.5	55065.6	99879.8	39711.1	43404.9	52130.4	60495.9	35899.9			23748.9	50028.1		63383.3			28856.7	31589.5		27424.7	30914.8	43585.1
TRIM21	9	9	25688.8		48017.5	34801.5																	24746.2	23812.7	47472.0		50275.0	129940.0	46052.6	30349.8	30415.6	56470.7	26446.4		60835.2		96451.9	87916.6	48267.3	77438.5	69077.5	63970.5		59029.4	124362.0	76413.2	100046.0	83195.9	83900.3	34780.9	69925.9	113556.0	105758.0	36326.7		127193.0	75691.7	68407.6	104339.0	70487.7	85554.6	49809.8	68002.7	71245.4	77219.8	77275.3	122614.0	78102.3	75473.0	68103.6	100572.0	73060.7	85286.8		136247.0	92122.5	74132.7	53643.0	80928.4	66535.3	76120.8	91314.2	104531.0	109049.0	184120.0	85746.5	124182.0	122558.0	46844.2	198020.0	145751.0	161799.0	131672.0	121959.0	132582.0	127046.0	94479.0
TRIM22	6	6	6738.93														23487.7					23384.5			19885.1			28609.9	13052.2	10998.9	28578.7	12983.3		23490.7	24938.9	15517.4	51159.6	34145.4	32467.0	21575.2	23809.7	53962.5		24971.1	35904.1	15333.0	40229.3	44484.9	11482.5		26006.7	19536.5	16240.6			11816.4	14847.6	9042.08	29000.0	12294.7	12745.7	12068.6	12075.4	19317.5	11804.2	16039.8	27240.4	21203.1	19580.3	16111.5	17428.3	20046.5	10769.7		31614.8	18906.0		11014.1	14390.0	11826.7	10427.8		26843.0	23053.5	18877.3	37067.0	22024.7	28897.1	13855.9		20594.2	32888.1	21011.9	27832.2	40085.5	20681.4	15743.7
TRIM24	2	2					2993.12										5857.6							1534.34		3997.29		4097.15	3770.45	2579.37		3714.58	2814.38								2283.79								3072.39			3844.54	2488.03				2075.51	2556.44		2302.68	2583.34		2087.9		2042.34		2003.02	1982.71	2615.29	1435.63	3054.39	1483.42	2294.23		2946.07	1350.87		2840.97	2617.01	3009.41		2367.87					1960.83	3711.5								1129.98	
TRIM25	25	25	218216.0		320123.0	241276.0	166018.0	260671.0	135810.0				208439.0				286402.0		164034.0		198339.0	232021.0	181180.0	233627.0	238553.0	216375.0	195055.0	249344.0	205259.0	243096.0	189708.0	236959.0	210337.0	204363.0	221313.0	195776.0	207902.0	186898.0	192234.0	196784.0	190063.0	209595.0	175898.0	234355.0	159599.0	254321.0	251510.0	234730.0	187483.0	143716.0	190634.0	237059.0	223504.0	171388.0		410344.0	216418.0	185690.0	186912.0	200398.0	180948.0	153900.0	177396.0	517432.0	222932.0	140327.0	195433.0	198677.0	169094.0	159625.0	169364.0	229627.0	171269.0	162140.0	218981.0	220152.0	203855.0	186994.0	211410.0	205831.0	240943.0	205743.0	178341.0	214062.0	191405.0	221921.0	228679.0	299656.0	177337.0	236933.0	179574.0	236776.0	212542.0	176749.0	217792.0	272072.0	238785.0
TRIM26	8	8	38312.1		54019.0	35689.3	35852.3	43953.8	55511.7				32821.6				56848.0		28109.2			37895.7	29779.2	31334.5	32887.9	31846.3	33388.1	44294.1	22182.9	24091.7		48503.2	15386.2	49568.0	28343.0	51792.5	37976.4	39801.1	44342.3	39495.9	38181.0	28382.6		29784.4	45151.4	40848.4	48498.1	41759.7	25284.6	39671.8	29034.9	28541.1	35227.9	30107.7		26670.4	28939.5	25093.2	38504.0	35071.6	26707.1	42080.6	36162.4	26617.1	37450.0	39195.8	28722.6	32608.5	31990.2	27908.2	29392.2	38236.4	33081.1		40831.4	35990.0	23959.0	40913.8	35251.4	33493.4	24056.1	31212.8	49733.2	51225.5	46829.9	21584.9	28226.2	60766.2	39360.5	50144.0	40745.4	39055.1	42505.1	35332.0	37201.9	35814.9	29144.8
TRIM27	3	3	81026.2		60582.3	59356.6	55019.1	90507.6											115817.0			72083.2			68302.5	109147.0		38652.6	30697.4	27701.0	50105.4	34749.8									29433.5					42556.1			50279.6			34538.9	45184.1			37976.5	61185.1		30880.7	47307.5	32674.8			35460.6	29815.5	35293.6	20223.3	38809.8	35943.8	38773.7	25118.2	41193.3				46204.4		38777.7	44842.6	32646.2		34169.4					33489.9	31520.2				49402.8	49254.7	28413.3	27357.6	29293.8	27416.9
TRIM28	23	23	1089410.0	901374.0	1284680.0	1221860.0	1167460.0	1193150.0	891145.0	1026750.0	980692.0		1741470.0		1067610.0	855424.0	993830.0		892892.0	1311360.0	1185530.0	989657.0	855924.0	1260290.0	897376.0	889274.0	892068.0	794546.0	810879.0	1013570.0	686901.0	1090150.0	1051210.0	859885.0	940273.0	1192890.0	1225300.0	855842.0	917240.0	1181210.0	1227340.0	1225630.0	1174230.0	1068150.0	1220930.0	1171340.0	993585.0	933745.0	1477010.0	1311780.0	1283670.0	1664950.0	1774140.0	1298990.0	1539340.0	1030740.0	1479420.0	1234150.0	1130270.0	1856650.0	1714770.0	1589570.0	1483230.0	1355810.0	1619770.0	1592180.0	1538470.0	1431340.0	1311080.0	1310060.0	1174170.0	1411320.0	1434940.0	1750560.0	1364810.0	1225400.0	1481820.0	1446270.0	1679530.0	1445630.0	1502020.0	1829630.0	1033070.0	986072.0	975871.0	1339960.0	1093950.0	1020950.0	1209920.0	978526.0	915069.0	1285400.0	1377010.0	1064590.0	1051210.0	1030700.0	1547390.0
TRIM29	29	29	244443.0	183380.0	310688.0	210815.0	221457.0	263109.0	151979.0				68890.1	102213.0			119484.0			102664.0	167134.0	94796.4	85604.4	195794.0	210923.0	154352.0	162287.0	75890.9	155678.0	212770.0	56942.8	156158.0	213941.0	89036.1			31794.0	144374.0	91819.5	49209.3	43144.9	63605.9	258070.0	74361.7	44029.1	66641.6	51633.0		56128.1	89666.6	83383.8	19145.5	23461.9			927648.0	21662.1	57438.9		24327.2	34630.4		44655.5	807742.0	37987.1							83582.0	30936.6		14874.8	28063.5	35590.1	40210.8		116890.0	49810.4	36187.8	366863.0			81868.2	30466.6	144033.0	41752.9		244530.0	94642.9				240680.0	
TRIM3	5	5	1568.38		2519.01	2622.42	1675.19	1663.98									1030.43					1530.78	1680.13	1749.84	1539.1	1592.46	1951.79		1696.89	1685.04			1370.07	921.529			1110.78	1180.07	1625.16			675.83		1938.66		1288.3	1097.54	2791.53	1004.12		1047.64	1017.18	730.392				401.252		1171.98	674.902		734.045		1467.28	957.927	440.847	966.894	1001.55	774.589	768.852	955.878	1005.01	1152.88		1262.23	903.839		1051.64	508.206	757.458		1051.69		1824.37	690.561	2702.5	1149.05	2190.98	1473.79	2699.55	1294.75	1485.8	1000.46	951.263	1496.21	1051.44	611.514
TRIM32	1	1	3111.93				1516.01															2562.06		2709.84		1854.34		3101.24	3180.02	3340.69			2605.55		6313.53						2219.22					3354.54			1894.79		4938.97	1229.25	3669.79				3436.38		3543.55	2535.18	2436.9			2544.13	3338.81		2566.54	2682.76	3117.58	1615.19		2900.55	1341.3		2473.48	2306.07		2807.34	2674.33	2051.89		3155.04	2885.59	2497.45	4173.22	3902.38	3083.48	2067.87	4803.83		3768.37		2637.87			2653.02	3204.47
TRIM33	11	11	78756.8		83090.9		69438.2	50150.4									95262.1					63105.6	52330.2	53100.7	77173.0	70804.5	49106.3		43014.7	54088.4	48127.4	88606.7	62925.4	92271.8	55553.6		55739.4				56102.5			75991.5	49787.2	71104.7			70775.1	65079.2		67528.4	91246.4			107864.0	63373.9	66805.1	31809.7	72198.1	78712.3	61471.6		83842.6	64872.0	52505.4	59727.1	53654.5	58002.2	43554.6	44309.0	58827.0	70419.7		67405.1	67331.4	49038.7	54423.3	67365.4	62169.1	63009.8	61570.2		47127.5		41273.9	66562.6		61384.1		48436.5	39761.0	58931.7	43867.2		51003.3	62257.3
TRIM36	2	2																																																	19926.9	17385.8	13667.1				14722.4	16318.7	14248.8	11084.2	11161.1	16915.3	29441.3		23302.2	18722.5	35105.4	15280.6	30036.4	16240.1	13604.7	20708.5		21504.7	26695.7	22873.8	12724.8	25741.5	11470.5	13586.7	19490.8						9205.82				12096.7	18892.1	22893.6				16103.0
TRIM38	1	1	418127.0																			1102330.0		470793.0									640119.0				550452.0				1478220.0				1397160.0															273505.0												214141.0							400198.0							1188840.0		868107.0									
TRIM4	6	6					10568.0	15004.7									21367.9							15902.6		13721.0	17929.9	7712.99	16743.5	19004.6			15070.5	24311.1				22833.0		13858.8	25245.6	25955.1		27978.0		19708.7	17782.8		11993.5				19836.0			14913.7			18605.6	26621.0	21119.1			12145.6	30482.8				19099.2	10824.4		7671.27	7654.66		12111.8	21504.4	13832.4	17168.1	16705.2	11778.2	26164.0	11549.5		18716.3	17844.4	20054.6	17022.7	13143.1			14112.8	24578.0	12820.9	7403.64		10548.1	13983.3
TRIM41	1	1																														802.18																	536.733				383.065				346.443		562.105	577.261			563.63									500.224				554.48		449.593	199.788								404.243										512.637
TRIM47	15	15	40675.0		36530.1	27612.9	23809.0	24993.0									32857.6				33529.7	36512.4	31224.1	50143.8	34999.8	52593.8	30835.4	40551.4	29502.4	48033.1		40848.7	37922.8	32100.9	34472.7	33526.4	20424.2		36806.4	27223.3	33112.2	20597.5		37532.3		34554.3	30692.4	38640.3	39140.6	31598.4	28196.4	44422.5	49940.6	35611.7		27550.7	45064.5	36818.4	44099.8	42695.7	40864.3	41875.3	74544.0	39162.8	50909.5	53967.8	60885.6	54652.2	37019.0	43377.0	49063.3	53148.4	45310.5	33909.6	39613.6	42609.6	43915.0	53584.3	48438.2	36297.6	44895.6	45733.4		30360.4		27963.6	51938.5	32294.6	38206.2	30414.2	33495.4	41099.5	45591.1	36953.9	47330.6	50150.2	51398.0
TRIM5	1	1																																							2619.79	2949.18				1240.73											1918.0		1784.59	1913.98					1406.58			1430.67		1679.8		1708.16			1731.71													2290.19				2164.09					
TRIM56	16	15	39906.6		66565.9	26914.8	34976.4	28632.3					43557.6									42120.2	28334.1	50102.7	49362.8	47827.9	33163.1	45632.1	53662.3	48142.0	43076.8	32977.2	49173.3	52418.4	36112.7		29330.4	50412.3	37875.0	55239.1	44395.9	32884.6		34189.6		41491.4	47916.4		29274.6	31024.3	37348.1	39284.7	39580.7			44224.3	46858.6	25607.9	48166.5	46559.5	29540.5		29944.3	32740.3	39962.6	44436.6	45322.2	36145.6	35502.8	33064.8	34857.2	33219.3	34378.4	32940.8	42264.8	33716.6	31397.3	40714.6	33945.8	36483.5	46830.6	38488.7	27753.7	33474.2	27466.6	54328.3	37088.2	40247.0	23291.5	43826.6	43147.3	39248.7	30452.5	35792.7	37499.1	34108.0	41719.0
TRIM65	9	9	71838.4		147805.0	83684.6	65253.9	68607.2									93971.5				109583.0	76869.0	53013.6	80322.3	91563.8	71191.7	70089.2	86529.7	87861.8	65274.3	69820.6	59387.3	76740.9	60545.9	135743.0		152614.0	161624.0	128172.0	120176.0	126846.0	118375.0		84202.8	152551.0	106957.0	58713.3	112068.0	111957.0	123985.0	128758.0	118992.0	154847.0	150423.0		104220.0	143056.0	87635.3	108343.0	151120.0	134953.0	156985.0	186213.0	110730.0	109064.0	179518.0	144878.0	153332.0	172888.0	143439.0	159249.0	161390.0	144563.0	122196.0	111804.0	103651.0	155500.0	158880.0	158589.0	113018.0	109268.0	149819.0	81808.1	86646.7	62923.6	86050.2	131452.0	102233.0	110531.0	116953.0	57720.3	133736.0	107039.0	132226.0	105218.0	126338.0	164596.0
TRIO	38	35	164803.0		206192.0	180540.0	181092.0	144648.0	184002.0				77381.4				100893.0		66509.6	84247.6	128433.0	133629.0	217210.0	172846.0	129315.0	233820.0	200170.0	98017.8	158074.0	210218.0	78115.7	196348.0	197656.0	180550.0			42546.1		69940.7	68957.1	65239.7	75279.0	79484.0	104716.0		91685.9	127809.0	50952.4	34118.5		40958.8	36291.9	30620.1				38189.5	47137.3	30967.5	32336.9	31748.0	34403.0	43116.1		39178.4	30509.0	29802.4	33369.7	33301.6	31270.8	34632.0	34784.9	34163.1		40363.7	35164.7		20067.2	37726.6	34040.9	43353.7	39704.0	45645.5	44631.1	41387.9	47149.4	42490.6	51419.1	37152.8	65188.6	52146.8	47797.9	13861.4	44612.9		49810.5	35680.4
