gene,n_a,n_b,log2_mean_a,log2_mean_b,log2_fc,U,p,p_bh
HSPA9,13,15,22.159739764620607,22.206537667260644,-0.04679790264003714,81.0,0.4610946780253201,0.8613395464363773
FH,13,15,19.406395973495517,19.335835617616187,0.07056035587932996,114.0,0.4610946780253201,0.8613395464363773
CBX3,13,15,20.990484314717154,20.870326797409536,0.12015751730761792,114.0,0.4610946780253201,0.8613395464363773
MCM2,13,15,18.675276110104743,18.78127693129701,-0.10600082119226784,81.0,0.4610946780253201,0.8613395464363773
ADAR,13,15,19.61129514256835,19.711019858572282,-0.09972471600393362,81.0,0.4610946780253201,0.8613395464363773
CORO1C,13,15,23.574645712170927,23.605710734762035,-0.03106502259110755,81.0,0.4610946780253201,0.8613395464363773
APP,13,15,19.763329492692435,19.63826521658854,0.12506427610389537,114.0,0.4610946780253201,0.8613395464363773
CTSV,13,15,18.53354904795706,17.8687695346535,0.6647795133035608,114.0,0.4610946780253201,0.8613395464363773
DDX18,13,15,19.323141188468608,19.310215126570785,0.012926061897822194,114.0,0.4610946780253201,0.8613395464363773
GLG1,13,15,18.102117804016267,17.947517395756332,0.1546004082599346,114.0,0.4610946780253201,0.8613395464363773
EIF3A,13,15,21.066714507597126,21.121000600764052,-0.05428609316692601,81.0,0.4610946780253201,0.8613395464363773
IGHA1,13,15,23.223947927450048,22.728186674118017,0.4957612533320308,114.0,0.4610946780253201,0.8613395464363773
ATP5MG,13,15,17.22440029023176,17.00023953904373,0.22416075118803036,114.0,0.4610946780253201,0.8613395464363773
CLNS1A,13,15,17.962382606742565,17.777633888219402,0.18474871852316355,114.0,0.4610946780253201,0.8613395464363773
POLG2,6,11,12.448486420728253,12.568789693497889,-0.12030327276963604,25.0,0.46234647705235943,0.8617749028491053
P2RX7,6,11,11.51298066833155,11.78320361715587,-0.2702229488243191,25.0,0.46234647705235943,0.8617749028491053
SCAI,6,11,11.908296900766421,12.072793944670268,-0.16449704390384667,25.0,0.46234647705235943,0.8617749028491053
BCL2L11,6,11,12.171013613363138,11.991792501208293,0.17922111215484549,41.0,0.46234647705235943,0.8617749028491053
RBP7,6,11,10.002750795071861,9.830538200000845,0.1722125950710165,41.0,0.46234647705235943,0.8617749028491053
VPS16,9,13,18.413553853335262,18.48987133702408,-0.0763174836888183,47.0,0.4626083472826239,0.8617749028491053
FKBP7,9,13,10.270954517932523,10.121435368739713,0.14951914919281073,70.0,0.4626083472826239,0.8617749028491053
GDE1,9,13,12.5329889319596,12.376243373581788,0.15674555837781234,70.0,0.4626083472826239,0.8617749028491053
TOP3B,9,13,9.664723593351187,9.824283558713516,-0.15955996536232853,47.0,0.4626083472826239,0.8617749028491053
SELENOO,12,13,13.320658090812577,13.418280124916311,-0.09762203410373438,64.0,0.46276397057578866,0.8617749028491053
BTN2A1,7,8,8.752079103288683,8.880449266056187,-0.12837016276750468,21.0,0.46340326340326343,0.8617749028491053
MED1,7,8,12.928383131552023,12.716520514352261,0.21186261719976152,35.0,0.46340326340326343,0.8617749028491053
GRTP1,7,8,9.038020996266372,8.608277612810275,0.4297433834560973,35.0,0.46340326340326343,0.8617749028491053
RAPH1,10,14,15.460951405488316,15.581972854530866,-0.12102144904254963,57.0,0.4642143127710314,0.8617749028491053
DPP9,10,14,13.496701491861788,13.56026316754982,-0.06356167568803173,57.0,0.4642143127710314,0.8617749028491053
ACAD10,10,14,12.514269813541805,12.381041971304029,0.13322784223777617,83.0,0.4642143127710314,0.8617749028491053
NAA20,10,14,12.558049546389544,12.48179193585915,0.07625761053039426,83.0,0.4642143127710314,0.8617749028491053
SCRN2,10,14,13.584855169234384,13.715933666245494,-0.13107849701111007,57.0,0.4642143127710314,0.8617749028491053
UTP4,10,14,12.514025708634275,12.451049296789575,0.0629764118446996,83.0,0.4642143127710314,0.8617749028491053
PFDN4,10,14,16.905129411517258,16.773503740264328,0.13162567125293023,83.0,0.4642143127710314,0.8617749028491053
EP400,10,14,13.143302091601441,13.19589870377099,-0.05259661216954825,57.0,0.4642143127710314,0.8617749028491053
PTGR2,10,14,12.761882949855227,12.93141133287179,-0.16952838301656215,57.0,0.4642143127710314,0.8617749028491053
