spot_id,X,Y,tile_x_topleft,tile_y_topleft
slide2_152_19_x12600y4600,12600,4600,12400,4400
slide2_152_19_x13400y4600,13400,4600,13200,4400
slide2_152_19_x13800y4600,13800,4600,13600,4400
slide2_152_19_x14200y4600,14200,4600,14000,4400
slide2_152_19_x14600y4600,14600,4600,14400,4400
slide2_152_19_x15000y4600,15000,4600,14800,4400
slide2_152_19_x15400y4600,15400,4600,15200,4400
slide2_152_19_x15800y4600,15800,4600,15600,4400
slide2_152_19_x16200y4600,16200,4600,16000,4400
slide2_152_19_x16600y4600,16600,4600,16400,4400
slide2_152_19_x17000y4600,17000,4600,16800,4400
slide2_152_19_x17400y4600,17400,4600,17200,4400
slide2_152_19_x17800y4600,17800,4600,17600,4400
slide2_152_19_x19400y4600,19400,4600,19200,4400
slide2_152_19_x20200y4600,20200,4600,20000,4400
slide2_152_19_x20600y4600,20600,4600,20400,4400
slide2_152_19_x21000y4600,21000,4600,20800,4400
slide2_152_19_x21400y4600,21400,4600,21200,4400
slide2_152_19_x21800y4600,21800,4600,21600,4400
slide2_152_19_x22200y4600,22200,4600,22000,4400
slide2_152_19_x22600y4600,22600,4600,22400,4400
slide2_152_19_x23000y4600,23000,4600,22800,4400
slide2_152_19_x23400y4600,23400,4600,23200,4400
slide2_152_19_x23800y4600,23800,4600,23600,4400
slide2_152_19_x25400y4600,25400,4600,25200,4400
slide2_152_19_x174600y4600,174600,4600,174400,4400
slide2_152_19_x175000y4600,175000,4600,174800,4400
slide2_152_19_x219800y4600,219800,4600,219600,4400
slide2_152_19_x220200y4600,220200,4600,220000,4400
slide2_152_19_x221000y4600,221000,4600,220800,4400
slide2_152_19_x200y5000,200,5000,0,4800
slide2_152_19_x5400y5000,5400,5000,5200,4800
slide2_152_19_x5800y5000,5800,5000,5600,4800
slide2_152_19_x6200y5000,6200,5000,6000,4800
slide2_152_19_x6600y5000,6600,5000,6400,4800
slide2_152_19_x7000y5000,7000,5000,6800,4800
slide2_152_19_x7400y5000,7400,5000,7200,4800
slide2_152_19_x7800y5000,7800,5000,7600,4800
slide2_152_19_x8200y5000,8200,5000,8000,4800
slide2_152_19_x8600y5000,8600,5000,8400,4800
slide2_152_19_x9000y5000,9000,5000,8800,4800
slide2_152_19_x13800y5000,13800,5000,13600,4800
slide2_152_19_x14200y5000,14200,5000,14000,4800
slide2_152_19_x14600y5000,14600,5000,14400,4800
slide2_152_19_x174600y5000,174600,5000,174400,4800
slide2_152_19_x175000y5000,175000,5000,174800,4800
slide2_152_19_x221000y5000,221000,5000,220800,4800
slide2_152_19_x200y5400,200,5400,0,5200
slide2_152_19_x600y5400,600,5400,400,5200
slide2_152_19_x1000y5400,1000,5400,800,5200
slide2_152_19_x1400y5400,1400,5400,1200,5200
slide2_152_19_x1800y5400,1800,5400,1600,5200
slide2_152_19_x5400y5400,5400,5400,5200,5200
slide2_152_19_x5800y5400,5800,5400,5600,5200
slide2_152_19_x6200y5400,6200,5400,6000,5200
slide2_152_19_x6600y5400,6600,5400,6400,5200
slide2_152_19_x7000y5400,7000,5400,6800,5200
slide2_152_19_x7400y5400,7400,5400,7200,5200
slide2_152_19_x7800y5400,7800,5400,7600,5200
slide2_152_19_x8200y5400,8200,5400,8000,5200
slide2_152_19_x8600y5400,8600,5400,8400,5200
slide2_152_19_x9000y5400,9000,5400,8800,5200
slide2_152_19_x9400y5400,9400,5400,9200,5200
slide2_152_19_x12200y5400,12200,5400,12000,5200
slide2_152_19_x14200y5400,14200,5400,14000,5200
slide2_152_19_x14600y5400,14600,5400,14400,5200
slide2_152_19_x15000y5400,15000,5400,14800,5200
slide2_152_19_x15400y5400,15400,5400,15200,5200
slide2_152_19_x23000y5400,23000,5400,22800,5200
slide2_152_19_x221000y5400,221000,5400,220800,5200
slide2_152_19_x200y5800,200,5800,0,5600
slide2_152_19_x600y5800,600,5800,400,5600
slide2_152_19_x1000y5800,1000,5800,800,5600
slide2_152_19_x1400y5800,1400,5800,1200,5600
slide2_152_19_x5000y5800,5000,5800,4800,5600
slide2_152_19_x5400y5800,5400,5800,5200,5600
slide2_152_19_x5800y5800,5800,5800,5600,5600
slide2_152_19_x6200y5800,6200,5800,6000,5600
slide2_152_19_x6600y5800,6600,5800,6400,5600
slide2_152_19_x7000y5800,7000,5800,6800,5600
slide2_152_19_x7400y5800,7400,5800,7200,5600
slide2_152_19_x7800y5800,7800,5800,7600,5600
slide2_152_19_x8200y5800,8200,5800,8000,5600
slide2_152_19_x8600y5800,8600,5800,8400,5600
slide2_152_19_x9000y5800,9000,5800,8800,5600
slide2_152_19_x9400y5800,9400,5800,9200,5600
slide2_152_19_x9800y5800,9800,5800,9600,5600
slide2_152_19_x10200y5800,10200,5800,10000,5600
slide2_152_19_x10600y5800,10600,5800,10400,5600
slide2_152_19_x12200y5800,12200,5800,12000,5600
slide2_152_19_x13800y5800,13800,5800,13600,5600
slide2_152_19_x14200y5800,14200,5800,14000,5600
slide2_152_19_x14600y5800,14600,5800,14400,5600
slide2_152_19_x15000y5800,15000,5800,14800,5600
slide2_152_19_x15400y5800,15400,5800,15200,5600
slide2_152_19_x18200y5800,18200,5800,18000,5600
slide2_152_19_x18600y5800,18600,5800,18400,5600
slide2_152_19_x19400y5800,19400,5800,19200,5600
slide2_152_19_x21400y5800,21400,5800,21200,5600
slide2_152_19_x21800y5800,21800,5800,21600,5600
slide2_152_19_x221000y5800,221000,5800,220800,5600
slide2_152_19_x200y6200,200,6200,0,6000
slide2_152_19_x600y6200,600,6200,400,6000
slide2_152_19_x1000y6200,1000,6200,800,6000
slide2_152_19_x1400y6200,1400,6200,1200,6000
slide2_152_19_x1800y6200,1800,6200,1600,6000
slide2_152_19_x3000y6200,3000,6200,2800,6000
slide2_152_19_x3400y6200,3400,6200,3200,6000
slide2_152_19_x3800y6200,3800,6200,3600,6000
slide2_152_19_x4200y6200,4200,6200,4000,6000
slide2_152_19_x5000y6200,5000,6200,4800,6000
slide2_152_19_x5400y6200,5400,6200,5200,6000
slide2_152_19_x5800y6200,5800,6200,5600,6000
slide2_152_19_x6200y6200,6200,6200,6000,6000
slide2_152_19_x6600y6200,6600,6200,6400,6000
slide2_152_19_x7000y6200,7000,6200,6800,6000
slide2_152_19_x7400y6200,7400,6200,7200,6000
slide2_152_19_x7800y6200,7800,6200,7600,6000
slide2_152_19_x8200y6200,8200,6200,8000,6000
slide2_152_19_x8600y6200,8600,6200,8400,6000
slide2_152_19_x9000y6200,9000,6200,8800,6000
slide2_152_19_x9400y6200,9400,6200,9200,6000
slide2_152_19_x9800y6200,9800,6200,9600,6000
slide2_152_19_x10200y6200,10200,6200,10000,6000
slide2_152_19_x10600y6200,10600,6200,10400,6000
slide2_152_19_x11400y6200,11400,6200,11200,6000
slide2_152_19_x11800y6200,11800,6200,11600,6000
slide2_152_19_x13800y6200,13800,6200,13600,6000
slide2_152_19_x14200y6200,14200,6200,14000,6000
slide2_152_19_x14600y6200,14600,6200,14400,6000
slide2_152_19_x15000y6200,15000,6200,14800,6000
slide2_152_19_x15400y6200,15400,6200,15200,6000
slide2_152_19_x17400y6200,17400,6200,17200,6000
