cell_type,gene,r,p,rank,direction,p_bh
SMG_Mucous,CCDC88B,-0.61370238327434,3.511433652514384e-06,3,neg,1.4863211227574113e-05
SMG_Mucous,APOL3,-0.6095276256654912,4.262445247871227e-06,4,neg,1.6964956210432746e-05
SMG_Mucous,PSME2,-0.5816061214691864,1.4556585567371272e-05,5,neg,4.6211382753559596e-05
SMG_Serous,PPP1R9B,-0.7672363514364918,2.013633704223139e-10,1,neg,3.221813926757022e-08
SMG_Serous,CCDC88B,-0.7622812376674594,3.0829827579736957e-10,2,neg,4.110643677298261e-08
SMG_Serous,FERMT3,-0.7493194616848649,8.963696451758096e-10,3,neg,5.975797634505398e-08
SMG_Serous,SAMHD1,-0.736123752756325,2.491500783463607e-09,4,neg,7.118573667038877e-08
SMG_Serous,ITGAX,-0.7336557483350967,2.9963700409751937e-09,5,neg,7.990320109267184e-08
Schwann_Myelinating,LAP3,-0.6410656967357962,9.17039920667051e-07,1,neg,5.203063379671211e-06
Schwann_Myelinating,GBP1,-0.5707239058225024,2.279876276345405e-05,2,neg,6.632367349368451e-05
Schwann_Myelinating,XIRP1,-0.5480157415068483,5.5337524244025715e-05,3,neg,0.00012297227609783492
Schwann_Myelinating,WARS1,-0.5292910618053289,0.0001097126021047945,4,neg,0.00019375293969941631
Schwann_Myelinating,PSME2,-0.5068233158524975,0.00023695308314963803,5,neg,0.00034093968798509073
Schwann_nonmyelinating,PSTPIP2,-0.5589313055057663,3.6426099283559665e-05,1,neg,9.310185120398637e-05
Schwann_nonmyelinating,NCAPG,-0.5360041152222269,8.623946024499674e-05,2,neg,0.0001636550459063496
Schwann_nonmyelinating,HSPH1,-0.5266790965614475,0.00012032192039490575,3,neg,0.00020480326875728637
Schwann_nonmyelinating,YBX3,-0.5191157429724041,0.0001565306967803437,4,neg,0.0002499492164157185
Schwann_nonmyelinating,PUM3,-0.5107103352432795,0.000208191465479457,5,neg,0.00030786168647609167
Secretory_Club,LAP3,-0.584064565215393,1.3123999519581986e-05,1,neg,4.216546030387786e-05
Secretory_Club,CWC27,-0.4848444416101013,0.0004787544111481967,2,neg,0.0006185341552120765
Secretory_Club,MTHFR,-0.4786388340892711,0.0005790365374593875,3,neg,0.0007204187091252101
Secretory_Club,TIGAR,-0.4699580558318662,0.0007510355458717477,4,neg,0.0008861776352468999
Secretory_Club,RTN1,-0.46853184475834264,0.0007833137035155868,5,neg,0.0009174977493593989
Secretory_Goblet,LAP3,-0.5763720867570679,1.8098610293559858e-05,1,neg,5.4908992029295384e-05
Secretory_Goblet,PEA15,-0.5469026851506746,5.7701225465001116e-05,2,neg,0.00012751652036464335
Secretory_Goblet,YWHAH,-0.528294021306648,0.00011365739427815491,3,neg,0.00019809399537915897
Secretory_Goblet,TIGAR,-0.524495553018705,0.00012989944726560232,4,neg,0.0002156007423495474
