A,B,R,z,p
B_memory,NK_CD16hi,0.707059383392334,461.82305908203125,0.0
B_memory,NKT,0.7720623016357422,504.2803649902344,0.0
B_memory,NK_CD11d,0.6398554444313049,417.9281005859375,0.0
B_memory,NK_CD56bright,0.5990462303161621,391.2731628417969,0.0
B_memory,Neuroendocrine,0.4821434020996094,314.9168701171875,0.0
B_memory,SMG_Basal,0.41144776344299316,268.7413024902344,0.0
B_memory,SMG_Duct,0.31224384903907776,203.94525146484375,0.0
B_memory,SMG_Mucous,0.3701155483722687,241.7447509765625,0.0
B_memory,SMG_Serous,0.3839484453201294,250.77984619140625,0.0
B_memory,Schwann_Myelinating,0.24081678688526154,157.2919464111328,0.0
B_memory,Schwann_nonmyelinating,-0.22940398752689362,-149.83755493164062,0.0
B_memory,Secretory_Club,-0.023723885416984558,-15.495497703552246,3.720683414950369e-54
B_memory,Secretory_Goblet,-0.3404339849948883,-222.35792541503906,0.0
B_memory,Suprabasal,-0.08653374016284943,-56.5203971862793,0.0
B_memory,T_reg,0.724711000919342,473.3523864746094,0.0
B_memory,gdT,0.7455220818519592,486.94537353515625,0.0
B_naive,B_naive,0.7249470353126526,473.5065612792969,0.0
B_naive,B_plasma_IgA,0.09356039762496948,61.109928131103516,0.0
B_naive,B_plasma_IgG,0.18322224915027618,119.6734848022461,0.0
B_naive,B_plasmablast,0.48409685492515564,316.19281005859375,0.0
B_naive,Basal,0.15755045413970947,102.90568542480469,0.0
B_naive,CD4_EM_Effector,0.7248575091362,473.4480895996094,0.0
B_naive,CD4_TRM,0.7181404829025269,469.060791015625,0.0
B_naive,CD4_naive_CM,0.6419918537139893,419.32354736328125,0.0
B_naive,CD8_EM,0.7227758765220642,472.08843994140625,0.0
B_naive,CD8_EM_EMRA,0.7174295783042908,468.5964660644531,0.0
B_naive,CD8_TRM_EM,0.7198056578636169,470.1484069824219,0.0
B_naive,CD8_TRM,0.6781246066093445,442.92401123046875,0.0
B_naive,Chondrocyte,0.44734448194503784,292.1876220703125,0.0
B_naive,Ciliated,0.074379563331604,48.58177185058594,0.0
B_naive,DC_1,0.6865575313568115,448.43206787109375,0.0
B_naive,DC_2,0.6875145435333252,449.05712890625,0.0
B_naive,DC_activated,0.7093216180801392,463.3006591796875,0.0
B_naive,DC_plasmacytoid,0.7030789256095886,459.2231750488281,0.0
B_naive,Deuterosomal,-0.03225156292319298,-21.06543731689453,1.6509460353266368e-98
B_naive,Dividing_AT2,0.6449397206306458,421.24896240234375,0.0
B_naive,Dividing_Basal,0.4323524832725525,282.39544677734375,0.0
B_naive,Endothelia_Lymphatic,0.5031521320343018,328.6389465332031,0.0
B_naive,Endothelia_vascular_Cap_a,0.6718806624412537,438.845703125,0.0
B_naive,Endothelia_vascular_Cap_g,0.6610429286956787,431.7669372558594,0.0
B_naive,Endothelia_vascular_arterial_pulmonary,0.591808021068573,386.5454406738281,0.0
B_naive,Endothelia_vascular_arterial_systemic,0.30435803532600403,198.7945556640625,0.0
B_naive,Endothelia_vascular_venous_pulmonary,0.5713681578636169,373.1949462890625,0.0
B_naive,Endothelia_vascular_venous_systemic,0.4235442280769348,276.6422424316406,0.0
B_naive,Erythrocyte,0.7040466666221619,459.8552551269531,0.0
B_naive,Fibro_adventitial,0.31609317660331726,206.45948791503906,0.0
B_naive,Fibro_alveolar,0.6631007194519043,433.1109924316406,0.0
B_naive,Fibro_immune_recruiting,0.48942553997039795,319.67327880859375,0.0
B_naive,Fibro_myofibroblast,0.3047618269920349,199.0583038330078,0.0
B_naive,Fibro_peribronchial,0.4237874150276184,276.80108642578125,0.0
B_naive,Fibro_perichondrial,0.1532028764486313,100.06602478027344,0.0
B_naive,ILC,0.7229261994361877,472.1866149902344,0.0
B_naive,Ionocyte_n_Brush,0.10357339680194855,67.6500244140625,0.0
B_naive,MAIT,0.7265305519104004,474.54083251953125,0.0
B_naive,Macro_CHIT1,0.4506444036960602,294.3429870605469,0.0
B_naive,Macro_interstitial,0.6858932971954346,447.9981994628906,0.0
B_naive,Macro_AW_CX3CR1,0.6721467971801758,439.01953125,0.0
B_naive,Macro_alveolar_metallothioneins,0.6936367154121399,453.055908203125,0.0
B_naive,Macro_alv,0.40967410802841187,267.58282470703125,0.0
B_naive,Macro_dividing,0.5149688124656677,336.3571472167969,0.0
B_naive,Macro_int,0.6360170841217041,415.4210510253906,0.0
B_naive,Macro_CCL,0.7003856897354126,457.46405029296875,0.0
B_naive,Mast_cell,0.6931178569793701,452.7170104980469,0.0
B_naive,Megakaryocyte,0.5337292551994324,348.6107177734375,0.0
B_naive,Mesothelia,0.4991639256477356,326.0340270996094,0.0
B_naive,Macrophage_intermediate,0.715333104133606,467.22711181640625,0.0
B_naive,Monocyte_CD14,0.6924160122871399,452.2585754394531,0.0
B_naive,Monocyte_CD16,0.7227597236633301,472.077880859375,0.0
B_naive,Muscle_airway,0.13558652997016907,88.55972290039062,0.0
B_naive,Muscle_pericyte_airway,0.4327230453491211,282.6374816894531,0.0
B_naive,Muscle_pericyte_parenchyma,0.6679375171661377,436.27020263671875,0.0
B_naive,Muscle_perivascular_immune_recruiting,0.5268492102622986,344.116943359375,0.0
B_naive,Muscle_smooth_pulmonary,0.1309577226638794,85.536376953125,0.0
B_naive,Muscle_smooth_syst_arterial,0.13472338020801544,87.9959487915039,0.0
B_naive,Myoepithelial,0.509020984172821,332.4722595214844,0.0
B_naive,NAF_endoneurial,0.17008082568645477,111.09002685546875,0.0
B_naive,NAF_perineurial,0.14706341922283173,96.05597686767578,0.0
B_naive,NK_CD16hi,0.7222322821617126,471.7333984375,0.0
B_naive,NKT,0.7271520495414734,474.94677734375,0.0
B_naive,NK_CD11d,0.6928959488868713,452.5720520019531,0.0
B_naive,NK_CD56bright,0.6592467427253723,430.59375,0.0
B_naive,Neuroendocrine,0.5593005418777466,365.3128662109375,0.0
B_naive,SMG_Basal,0.4958185851573944,323.8489685058594,0.0
B_naive,SMG_Duct,0.4269920289516449,278.8941955566406,0.0
B_naive,SMG_Mucous,0.4912550747394562,320.8682556152344,0.0
B_naive,SMG_Serous,0.4691200256347656,306.4105224609375,0.0
B_naive,Schwann_Myelinating,0.3569580018520355,233.1507568359375,0.0
B_naive,Schwann_nonmyelinating,-0.16670472919940948,-108.88489532470703,0.0
B_naive,Secretory_Club,0.05683375895023346,37.121551513671875,1.2618844143697052e-301
B_naive,Secretory_Goblet,-0.20062513649463654,-131.0403594970703,0.0
B_naive,Suprabasal,0.0583072230219841,38.08395767211914,0.0
B_naive,T_reg,0.7232611179351807,472.4053955078125,0.0
B_naive,gdT,0.7287300229072571,475.9774475097656,0.0
B_plasma_IgA,B_plasma_IgA,0.6951786875724792,454.06304931640625,0.0
B_plasma_IgA,B_plasma_IgG,0.05141036584973335,33.57920455932617,3.3751687540593304e-247
B_plasma_IgA,B_plasmablast,0.0838848203420639,54.790225982666016,0.0
B_plasma_IgA,Basal,0.33946701884269714,221.72634887695312,0.0
B_plasma_IgA,CD4_EM_Effector,0.045616693794727325,29.79500961303711,4.533701191529174e-195
B_plasma_IgA,CD4_TRM,0.10360415279865265,67.67011260986328,0.0
B_plasma_IgA,CD4_naive_CM,-0.10444613546133041,-68.22006225585938,0.0
B_plasma_IgA,CD8_EM,0.05768531560897827,37.67775344848633,0.0
B_plasma_IgA,CD8_EM_EMRA,-0.02968616969883442,-19.38982391357422,9.405832823138625e-84
B_plasma_IgA,CD8_TRM_EM,0.04437604919075966,28.984668731689453,1.0267527911228432e-184
B_plasma_IgA,CD8_TRM,0.12153379619121552,79.38104248046875,0.0
B_plasma_IgA,Chondrocyte,0.24702903628349304,161.3495330810547,0.0
B_plasma_IgA,Ciliated,0.36216750741004944,236.55340576171875,0.0
B_plasma_IgA,DC_1,-0.06069379672408104,-39.64277267456055,0.0
B_plasma_IgA,DC_2,0.0669730082154274,43.744102478027344,0.0
B_plasma_IgA,DC_activated,0.0038476083427667618,2.5131046772003174,0.011967381978344441
B_plasma_IgA,DC_plasmacytoid,0.11217279732227325,73.26680755615234,0.0
