gene,n_a,n_b,log2_mean_a,log2_mean_b,log2_fc,U,p,p_bh
KRT4,8,21,21.661662190550523,20.90175469710274,0.7599074934477841,95.0,0.6153408144412643,0.8493992073346737
RPL14,8,21,22.019086972744958,22.13595024850078,-0.11686327575582212,73.0,0.6153408144412643,0.8493992073346737
GBA1,8,21,19.38990074846253,19.775408513715963,-0.38550776525343267,73.0,0.6153408144412643,0.8493992073346737
S100A9,8,21,24.220619697988617,24.67632796958128,-0.4557082715926626,73.0,0.6153408144412643,0.8493992073346737
RPL21,8,21,19.000516035514828,19.23620962568635,-0.2356935901715218,73.0,0.6153408144412643,0.8493992073346737
MIF,8,21,22.21715779179317,22.180261913903855,0.03689587788931448,95.0,0.6153408144412643,0.8493992073346737
CTSG,8,21,19.42020791808604,19.556853925657805,-0.13664600757176615,73.0,0.6153408144412643,0.8493992073346737
PLCG2,6,12,17.631420633470395,17.72106472291051,-0.08964408944011382,30.0,0.6164619694031459,0.8493992073346737
SEC23IP,6,12,15.117240686740795,15.082849575961795,0.03439111077899959,42.0,0.6164619694031459,0.8493992073346737
CIAO2B,6,12,14.602497273771379,14.54553619172849,0.05696108204288919,42.0,0.6164619694031459,0.8493992073346737
RAB23,6,12,13.12866773638855,13.227275623226307,-0.09860788683775645,30.0,0.6164619694031459,0.8493992073346737
CDV3,6,12,16.920662934289222,17.144383367962067,-0.22372043367284533,30.0,0.6164619694031459,0.8493992073346737
PTRH2,6,12,16.494037943159988,16.549150276894245,-0.05511233373425739,30.0,0.6164619694031459,0.8493992073346737
TWF2,6,12,17.79928800733643,17.900379686863207,-0.10109167952677822,30.0,0.6164619694031459,0.8493992073346737
CUL5,6,12,15.859241849880974,15.950634433487503,-0.09139258360652924,30.0,0.6164619694031459,0.8493992073346737
SMARCC2,6,12,17.93035647259654,17.965982774779068,-0.03562630218252849,30.0,0.6164619694031459,0.8493992073346737
KIRREL1,6,12,13.307048205279372,13.459338483213989,-0.15229027793461647,30.0,0.6164619694031459,0.8493992073346737
PRUNE1,6,12,13.699626432857814,13.591610794065266,0.10801563879254772,42.0,0.6164619694031459,0.8493992073346737
CHMP1B,6,12,16.641396138208012,16.674758695479813,-0.0333625572718006,30.0,0.6164619694031459,0.8493992073346737
PTDSS1,7,17,17.082776743595385,17.152159473431883,-0.06938272983649796,68.0,0.6194091949240692,0.8513577108238221
CD44,8,19,20.051949905793236,19.938908293041514,0.1130416127517222,86.0,0.6209546974764365,0.8513577108238221
IDE,8,19,18.23924045719054,17.823204007674473,0.4160364495160671,86.0,0.6209546974764365,0.8513577108238221
DDX52,5,8,16.06528068461639,16.046577778175397,0.018702906440992706,16.0,0.6216006216006216,0.8513577108238221
TRAF3IP3,5,8,13.279593407217334,13.11364144257777,0.1659519646395644,24.0,0.6216006216006216,0.8513577108238221
EGFR,5,8,13.850609193722907,13.760195178661085,0.09041401506182112,24.0,0.6216006216006216,0.8513577108238221
GLRX5,5,8,14.521954333163194,14.664271691783773,-0.14231735862057882,16.0,0.6216006216006216,0.8513577108238221
ATP5PF,5,8,14.093442211974182,13.960381682154894,0.1330605298192875,24.0,0.6216006216006216,0.8513577108238221
CFL2,5,8,15.191380949431075,15.146686044326364,0.04469490510471097,24.0,0.6216006216006216,0.8513577108238221
TRIM27,5,8,16.052645333615565,15.783607782685479,0.2690375509300864,24.0,0.6216006216006216,0.8513577108238221
WDR81,5,8,13.512885346849624,13.584255916770541,-0.0713705699209175,16.0,0.6216006216006216,0.8513577108238221
TBC1D22A,5,8,11.716246635784838,11.590665208368149,0.1255814274166891,24.0,0.6216006216006216,0.8513577108238221
CHRAC1,5,8,15.348622792733327,15.124077634266527,0.22454515846679968,24.0,0.6216006216006216,0.8513577108238221
HMG20A,5,8,12.797288078706224,12.509470620723075,0.28781745798314873,24.0,0.6216006216006216,0.8513577108238221
