gene,n_a,n_b,log2_mean_a,log2_mean_b,log2_fc,U,p,p_bh
FAHD1,3,8,13.789983203135298,14.181088416599188,-0.3911052134638897,9.0,0.6303030303030304,1.0
XPC,3,8,13.54838452402099,13.433958356645899,0.11442616737509148,15.0,0.6303030303030304,1.0
OASL,3,8,16.01543016358173,16.145400590903403,-0.1299704273216733,9.0,0.6303030303030304,1.0
LRG1,5,7,15.556454028058775,15.6595147345403,-0.10306070648152499,14.0,0.638888888888889,1.0
NOB1,5,7,13.849054665391808,13.787281173201688,0.061773492190120294,21.0,0.638888888888889,1.0
XRN1,5,7,13.623282716685983,13.722005680940878,-0.09872296425489502,14.0,0.638888888888889,1.0
UAP1L1,5,7,14.880612888967837,14.846414954087118,0.034197934880719316,21.0,0.638888888888889,1.0
FCHSD1,4,7,14.425940497076457,14.601639035255628,-0.17569853817917114,11.0,0.6484848484848484,1.0
PPP1R21,4,7,13.867021149909489,13.98935276775804,-0.12233161784855184,11.0,0.6484848484848484,1.0
PYGL,4,7,17.178665184775607,17.03312612161712,0.14553906315848764,17.0,0.6484848484848484,1.0
RUNX3,4,7,14.816437239588089,14.924318857161154,-0.10788161757306547,11.0,0.6484848484848484,1.0
TBXAS1,4,7,17.634923149952485,17.478297136867916,0.15662601308456914,17.0,0.6484848484848484,1.0
LRWD1,4,7,13.451852106275258,13.63260917215048,-0.18075706587522156,11.0,0.6484848484848484,1.0
PARP12,4,7,13.984683821986522,13.837836584738868,0.1468472372476537,17.0,0.6484848484848484,1.0
EIF4G3,4,7,16.63951358355543,16.8357936272648,-0.19628004370936836,11.0,0.6484848484848484,1.0
RFC2,4,7,16.280210636442945,16.162341283071385,0.11786935337156024,17.0,0.6484848484848484,1.0
DOK3,4,7,14.311601907626693,14.54032164876987,-0.22871974114317695,11.0,0.6484848484848484,1.0
MRPS34,4,7,17.378604935500256,17.219021440417162,0.1595834950830941,17.0,0.6484848484848484,1.0
ERG28,3,7,14.390157258006449,14.207799626868349,0.18235763113809966,13.0,0.6666666666666666,1.0
BCAT2,3,7,16.249104030599465,16.390778581188858,-0.14167455058939282,8.0,0.6666666666666666,1.0
SDCBP2,3,7,14.009276884667132,13.518559065986711,0.4907178186804213,13.0,0.6666666666666666,1.0
SEPHS2,3,7,14.47073644788018,14.323639510918587,0.1470969369615922,13.0,0.6666666666666666,1.0
CYP2S1,3,7,13.419683055381162,13.071128436940805,0.34855461844035673,13.0,0.6666666666666666,1.0
PPP1R12C,3,7,13.76697654822201,13.958587663025414,-0.1916111148034041,8.0,0.6666666666666666,1.0
MED23,3,7,11.792557998318046,11.65529558278983,0.13726241552821605,13.0,0.6666666666666666,1.0
FAP,3,7,14.940666533292378,14.416998312390735,0.5236682209016426,13.0,0.6666666666666666,1.0
ADA2,3,7,12.848030346840034,13.108270534976226,-0.26024018813619243,8.0,0.6666666666666666,1.0
TLN2,3,7,15.791571686704026,15.390445247601631,0.401126439102395,13.0,0.6666666666666666,1.0
LPXN,3,7,14.46513263214844,14.660131792353086,-0.19499916020464525,8.0,0.6666666666666666,1.0
TUBGCP3,3,7,15.021496563104902,15.085922229295324,-0.06442566619042189,8.0,0.6666666666666666,1.0
KDM1A,3,7,16.075831636891742,15.97760397185913,0.09822766503261171,13.0,0.6666666666666666,1.0
SIRPA,3,7,14.404396767113104,14.616794709710343,-0.21239794259723865,8.0,0.6666666666666666,1.0
CHUK,3,7,11.65345490452365,11.843012324119144,-0.18955741959549322,8.0,0.6666666666666666,1.0
PLXNC1,3,7,12.97460430410591,12.67840545559268,0.29619884851322986,13.0,0.6666666666666666,1.0
MRPS18A,3,7,13.332400364362785,13.310468145932763,0.021932218430022132,8.0,0.6666666666666666,1.0
TMPPE,3,7,11.295332338847409,11.953320394516997,-0.6579880556695876,8.0,0.6666666666666666,1.0
NDUFAB1,3,7,17.041681135911634,16.847591511328545,0.1940896245830892,13.0,0.6666666666666666,1.0
TNFAIP8L2,3,7,16.67182628383331,16.423796402477755,0.24802988135555282,13.0,0.6666666666666666,1.0
RNF40,3,7,16.77294849672181,16.69980487758392,0.07314361913789114,13.0,0.6666666666666666,1.0
DNAJC9,3,7,17.180377850925957,17.61610736025442,-0.4357295093284641,8.0,0.6666666666666666,1.0
DNAJB6,3,7,15.262049653289111,15.477671722952504,-0.21562206966339303,8.0,0.6666666666666666,1.0
NBN,3,7,14.821352162126635,14.91484874950193,-0.09349658737529509,8.0,0.6666666666666666,1.0
NBEAL2,3,7,13.397615337763275,13.625060005473825,-0.22744466771055016,8.0,0.6666666666666666,1.0
FHOD1,3,7,13.686947335963012,13.873565776492196,-0.18661844052918397,8.0,0.6666666666666666,1.0
CYB5R2,3,7,15.061313060444425,14.477475798911547,0.583837261532878,13.0,0.6666666666666666,1.0
CST1,4,8,18.18441687433384,17.56782652907468,0.6165903452591621,19.0,0.6828282828282828,1.0
