,feature_type,axis1,axis2,axis3
ANKZF1,gene,0.010984291848813053,0.01715733619266858,0.025414522092839113
ANO10,gene,0.0045739201792194765,0.00914310948883648,-0.00924083730471511
ANO6,gene,-0.008185017216210073,0.017006228035042512,-0.014820400979871296
ANP32A,gene,-0.010863161498549085,-0.00936255993900837,0.011164695745636333
ANP32B,gene,-0.0025205999021089033,-0.021474748571754295,-0.008146308440530858
ANP32E,gene,-0.001954505403862586,-0.0049984331663888125,-0.01183533060553861
ANPEP,gene,0.02225018768915965,0.017645169800642273,-0.040704152291551145
ANXA1,gene,-0.010650595938784863,0.016813645935187586,-0.005486806924420476
ANXA11,gene,-0.018864998343560202,0.0018244677291931698,-0.007565659643770823
ANXA2,gene,0.008773581341672061,0.005706128463782569,-0.004802093590097346
ANXA3,gene,0.014386221041382399,0.021932796352141275,0.02008764849592899
ANXA4,gene,0.021923264147625313,-0.000869547656222564,0.006777814758014542
ANXA5,gene,0.008563183274228052,-0.008004347037336214,-0.01879672064788283
ANXA6,gene,-0.035794474425331915,0.0019021463115094165,-0.0035547401074403177
ANXA7,gene,-0.01888017343183666,0.005702831895390266,-0.0035559689737453357
ANXA8,gene,0.011067419665967207,0.006959153345129641,0.011755801569600832
AOC3,gene,-0.02854361618431613,0.0072725954558702935,-0.004384474677611164
AP1B1,gene,-0.005472412418996707,-0.017777163042647093,-0.021460499508607928
AP1G1,gene,0.004525333219074947,-0.021550377222893612,0.003797759289011391
AP1G2,gene,-0.007000211279931721,-0.009537582480367157,-0.012570911868400089
AP1M1,gene,-0.018233867430341177,-0.011930184950452026,-0.011520789022403345
AP1M2,gene,0.01207328116904188,-0.018136368420320688,0.0068721518021648605
AP1S1,gene,0.015025122088337858,-0.020316741227280926,0.011462897454035411
AP2A1,gene,-0.010247592629869899,0.007780295378733279,-0.03513465574668371
AP2A2,gene,-0.015083858026759515,0.010953093897271967,-0.023930426290367842
AP2B1,gene,-0.006634576511979779,0.012994351630399434,-0.01257912618837895
AP2M1,gene,-0.005757545760724598,0.018097180922043363,-0.031569828880555324
AP2S1,gene,-0.007048161856390375,0.0027668111670083656,-0.022922043316430128
AP3B1,gene,-0.018661825030125825,-0.0066834078324622655,-0.01104915124231943
AP3D1,gene,-0.012023799621494984,-0.012319570746192676,-0.010556549646237447
AP3M1,gene,-0.011793811544097595,-0.007310507054412051,-0.02050753049695023
AP3S1,gene,-0.016467393062620555,0.010106599454188885,-0.01325361474359576
AP5B1,gene,-0.019839094848922777,-0.018951571242328234,-0.010634402800168025
APBB1IP,gene,-0.02923252587039234,-0.008555766574060346,-0.007256408488439322
APCS,gene,-0.02127433139732211,0.01696538863367062,-0.022071790377276846
APEH,gene,-0.0016238528870776848,-0.003435761236414544,-0.013610395464022726
