,A,B,R_val,R_z_score,R_p_val
1520,Dividing_AT2,Fibro_peribronchial,0.3163581111803526,85.69182325733806,0.0
2252,Fibro_peribronchial,Secretory_Club,0.3160401080388899,85.60568584523938,0.0
417,B_plasma_IgG,ILC,0.3156280058521404,85.49405985398806,0.0
444,B_plasma_IgG,NKT,0.31540176032864253,85.432776799351,0.0
1024,CD8_TRM,Endothelia_Lymphatic,0.31536099394593925,85.42173442193759,0.0
1649,Endothelia_Lymphatic,Monocyte_CD16,0.3152179013534774,85.38297497588789,0.0
1274,DC_2,Endothelia_Lymphatic,0.3150660980216603,85.34185605457618,0.0
391,B_plasma_IgG,CD8_EM_EMRA,0.3148805058902461,85.29158477161852,0.0
423,B_plasma_IgG,Macro_alveolar_metallothioneins,0.31354471904665376,84.92976060443182,0.0
392,B_plasma_IgG,CD8_TRM_EM,0.31336910142506197,84.88219111384987,0.0
419,B_plasma_IgG,MAIT,0.31315648263866996,84.82459912925773,0.0
2732,Megakaryocyte,Muscle_perivascular_immune_recruiting,0.3126694835329712,84.69268583284718,0.0
57,AT1,Muscle_perivascular_immune_recruiting,0.3116925427780481,84.42806219417575,0.0
959,CD8_TRM_EM,Endothelia_Lymphatic,0.3116614077065019,84.41962864702224,0.0
1653,Endothelia_Lymphatic,Muscle_perivascular_immune_recruiting,0.31149272936844535,84.37393879801488,0.0
433,B_plasma_IgG,Monocyte_CD16,0.3108312623900507,84.19476744314846,0.0
458,B_plasma_IgG,gdT,0.3103950161057597,84.07660154769961,0.0
826,CD8_EM,Endothelia_Lymphatic,0.3101538389284633,84.01127396063862,0.0
1628,Endothelia_Lymphatic,Fibro_alveolar,0.30945412007931844,83.82174133343005,0.0
1661,Endothelia_Lymphatic,NK_CD11d,0.30907112648078666,83.71799997642289,0.0
390,B_plasma_IgG,CD8_EM,0.30904127840703094,83.70991503796088,0.0
790,CD4_naive_CM,Muscle_pericyte_airway,0.3079576083898004,83.41638167717768,0.0
1760,Endothelia_vascular_Cap_g,Muscle_perivascular_immune_recruiting,0.30559233217380916,82.77570004363498,0.0
1662,Endothelia_Lymphatic,NK_CD56bright,0.3035201847792571,82.21441812285667,0.0
1638,Endothelia_Lymphatic,Macro_AW_CX3CR1,0.30283519722263696,82.02887575627608,0.0
1508,Dividing_AT2,Endothelia_Lymphatic,0.3005113020723404,81.39940299913766,0.0
401,B_plasma_IgG,Dividing_AT2,0.2995962630208104,81.15154665562646,0.0
2720,Mast_cell,Secretory_Club,0.2982189742669724,80.77848087890952,0.0
210,B_memory,Muscle_pericyte_airway,0.2980443919908962,80.73119183204561,0.0
1325,DC_2,Secretory_Club,0.2979036199169186,80.69306094411658,0.0
1622,Endothelia_Lymphatic,Endothelia_vascular_arterial_pulmonary,0.2973459771493674,80.54201242097476,0.0
2640,Macro_int,Muscle_pericyte_airway,0.2963571468593924,80.27416826763887,0.0
768,CD4_naive_CM,Fibro_immune_recruiting,0.2945316921307906,79.77970791261912,0.0
1624,Endothelia_Lymphatic,Endothelia_vascular_venous_pulmonary,0.29447422575203624,79.76414201246538,0.0
2008,Erythrocyte,Muscle_pericyte_airway,0.29319233756423907,79.41691735742323,0.0
406,B_plasma_IgG,Endothelia_vascular_arterial_pulmonary,0.2927486818098928,79.29674446112321,0.0
2081,Fibro_alveolar,Fibro_peribronchial,0.29252429501556804,79.23596487987962,0.0
2892,Muscle_pericyte_airway,NKT,0.29129395010748554,78.90270173699511,0.0
2575,Macro_alv,Muscle_pericyte_airway,0.290990321231252,78.82045787765182,0.0
2433,Macro_CHIT1,Muscle_pericyte_airway,0.29093983903199605,78.80678378002827,0.0
2811,Monocyte_CD14,Muscle_pericyte_airway,0.2904189442878626,78.66568918256901,0.0
2785,Macrophage_intermediate,Muscle_pericyte_airway,0.29025639149323024,78.62165855760526,0.0
