A,B,R
B_naive,Macro_alv,0.16556400060653687
B_naive,Macro_dividing,0.2684747278690338
B_naive,Macro_int,0.3961060643196106
B_naive,Macro_CCL,0.5009781122207642
B_naive,Mast_cell,0.481519490480423
B_naive,Megakaryocyte,0.4014241695404053
B_naive,Mesothelia,0.3032699227333069
B_naive,Macrophage_intermediate,0.5191980600357056
B_naive,Monocyte_CD14,0.48149532079696655
B_naive,Monocyte_CD16,0.5291535258293152
B_naive,Muscle_airway,-0.10177551209926605
B_naive,Muscle_pericyte_airway,0.1634828746318817
B_naive,Muscle_pericyte_parenchyma,0.4896405041217804
B_naive,Muscle_perivascular_immune_recruiting,0.3354629576206207
B_naive,Muscle_smooth_pulmonary,-0.09063252806663513
B_naive,Muscle_smooth_syst_arterial,-0.09904377907514572
B_naive,Myoepithelial,0.35274288058280945
B_naive,NAF_endoneurial,0.06345482915639877
B_naive,NAF_perineurial,-0.04581574350595474
B_naive,NK_CD16hi,0.556996762752533
B_naive,NKT,0.5384261012077332
B_naive,NK_CD11d,0.5473362803459167
B_naive,NK_CD56bright,0.5233725905418396
B_naive,Neuroendocrine,0.3740890622138977
B_naive,SMG_Basal,0.3089594841003418
B_naive,SMG_Duct,0.3626275956630707
B_naive,SMG_Mucous,0.3965858221054077
B_naive,SMG_Serous,0.3410314917564392
B_naive,Schwann_Myelinating,0.33089742064476013
B_naive,Schwann_nonmyelinating,0.06687615811824799
B_naive,Secretory_Club,0.1624210625886917
B_naive,Secretory_Goblet,0.20522266626358032
B_naive,Suprabasal,0.19987128674983978
B_naive,T_reg,0.5479643940925598
B_naive,gdT,0.5427373647689819
B_plasma_IgA,B_plasma_IgA,0.5708357691764832
B_plasma_IgA,B_plasma_IgG,-0.07937145978212357
B_plasma_IgA,B_plasmablast,0.2115747481584549
B_plasma_IgA,Basal,0.24571485817432404
B_plasma_IgA,CD4_EM_Effector,0.3066166639328003
B_plasma_IgA,CD4_TRM,0.3557245433330536
B_plasma_IgA,CD4_naive_CM,0.07700908184051514
B_plasma_IgA,CD8_EM,0.3058970868587494
B_plasma_IgA,CD8_EM_EMRA,0.2183278203010559
B_plasma_IgA,CD8_TRM_EM,0.26713231205940247
B_plasma_IgA,CD8_TRM,0.27825185656547546
B_plasma_IgA,Chondrocyte,0.4385821223258972
B_plasma_IgA,Ciliated,0.15963126718997955
B_plasma_IgA,DC_1,0.10768669843673706
B_plasma_IgA,DC_2,0.1903197169303894
B_plasma_IgA,DC_activated,0.18546834588050842
B_plasma_IgA,DC_plasmacytoid,0.3326416611671448
B_plasma_IgA,Deuterosomal,0.20742599666118622
B_plasma_IgA,Dividing_AT2,0.2627248466014862
B_plasma_IgA,Dividing_Basal,0.37519896030426025
B_plasma_IgA,Endothelia_Lymphatic,0.26139578223228455
B_plasma_IgA,Endothelia_vascular_Cap_a,0.18923141062259674
B_plasma_IgA,Endothelia_vascular_Cap_g,0.22501063346862793
B_plasma_IgA,Endothelia_vascular_arterial_pulmonary,0.2325371354818344
B_plasma_IgA,Endothelia_vascular_arterial_systemic,0.11226904392242432
B_plasma_IgA,Endothelia_vascular_venous_pulmonary,0.35858020186424255
B_plasma_IgA,Endothelia_vascular_venous_systemic,0.23793120682239532
B_plasma_IgA,Erythrocyte,0.15899823606014252
B_plasma_IgA,Fibro_adventitial,0.32580962777137756
B_plasma_IgA,Fibro_alveolar,0.11417398601770401
B_plasma_IgA,Fibro_immune_recruiting,0.5025153756141663
B_plasma_IgA,Fibro_myofibroblast,0.2432372123003006
B_plasma_IgA,Fibro_peribronchial,0.32201483845710754
B_plasma_IgA,Fibro_perichondrial,0.023786915466189384
B_plasma_IgA,ILC,0.3368208110332489
B_plasma_IgA,Ionocyte_n_Brush,0.18049462139606476
B_plasma_IgA,MAIT,0.25306376814842224
B_plasma_IgA,Macro_CHIT1,-0.08722824603319168
B_plasma_IgA,Macro_interstitial,0.12502481043338776
B_plasma_IgA,Macro_AW_CX3CR1,0.3886224329471588
B_plasma_IgA,Macro_alveolar_metallothioneins,0.273764967918396
B_plasma_IgA,Macro_alv,-0.12641525268554688
B_plasma_IgA,Macro_dividing,-0.057784054428339005
B_plasma_IgA,Macro_int,0.07425519078969955
B_plasma_IgA,Macro_CCL,0.18011674284934998
B_plasma_IgA,Mast_cell,0.21619972586631775
B_plasma_IgA,Megakaryocyte,0.41120049357414246
B_plasma_IgA,Mesothelia,0.4247753620147705
B_plasma_IgA,Macrophage_intermediate,0.32441431283950806
B_plasma_IgA,Monocyte_CD14,0.1584131121635437
B_plasma_IgA,Monocyte_CD16,0.28010016679763794
B_plasma_IgA,Muscle_airway,0.03182109445333481
B_plasma_IgA,Muscle_pericyte_airway,0.2755829095840454
B_plasma_IgA,Muscle_pericyte_parenchyma,0.258910596370697
B_plasma_IgA,Muscle_perivascular_immune_recruiting,0.4917578399181366
B_plasma_IgA,Muscle_smooth_pulmonary,0.021930871531367302
B_plasma_IgA,Muscle_smooth_syst_arterial,0.02093701809644699
B_plasma_IgA,Myoepithelial,0.5233162045478821
B_plasma_IgA,NAF_endoneurial,0.22087714076042175
B_plasma_IgA,NAF_perineurial,0.07309596240520477
B_plasma_IgA,NK_CD16hi,0.3623683750629425
B_plasma_IgA,NKT,0.278521865606308
B_plasma_IgA,NK_CD11d,0.3828321397304535
B_plasma_IgA,NK_CD56bright,0.3239699602127075
B_plasma_IgA,Neuroendocrine,0.45778706669807434
B_plasma_IgA,SMG_Basal,0.2970762848854065
B_plasma_IgA,SMG_Duct,0.5672951936721802
B_plasma_IgA,SMG_Mucous,0.4979330599308014
B_plasma_IgA,SMG_Serous,0.5545445680618286
B_plasma_IgA,Schwann_Myelinating,0.4932498335838318
B_plasma_IgA,Schwann_nonmyelinating,0.19224072992801666
B_plasma_IgA,Secretory_Club,0.06408793479204178
B_plasma_IgA,Secretory_Goblet,0.13587763905525208
B_plasma_IgA,Suprabasal,0.16291303932666779
B_plasma_IgA,T_reg,0.29741963744163513
B_plasma_IgA,gdT,0.32234951853752136
B_plasma_IgG,B_plasma_IgG,0.5183418393135071
B_plasma_IgG,B_plasmablast,0.3338824212551117
B_plasma_IgG,Basal,-0.12302298843860626
B_plasma_IgG,CD4_EM_Effector,0.08166775852441788
B_plasma_IgG,CD4_TRM,0.04833843186497688
B_plasma_IgG,CD4_naive_CM,0.3591313660144806
B_plasma_IgG,CD8_EM,0.08474307507276535
B_plasma_IgG,CD8_EM_EMRA,0.18825110793113708
B_plasma_IgG,CD8_TRM_EM,0.11520901322364807
B_plasma_IgG,CD8_TRM,0.05833390727639198
B_plasma_IgG,Chondrocyte,-0.04460911452770233
B_plasma_IgG,Ciliated,-0.03538856282830238
B_plasma_IgG,DC_1,0.37001559138298035
B_plasma_IgG,DC_2,0.25213533639907837
B_plasma_IgG,DC_activated,0.20307579636573792
B_plasma_IgG,DC_plasmacytoid,0.06108511984348297
B_plasma_IgG,Deuterosomal,-0.12479569017887115
B_plasma_IgG,Dividing_AT2,0.054519567638635635
B_plasma_IgG,Dividing_Basal,-0.074431411921978
B_plasma_IgG,Endothelia_Lymphatic,0.06663808971643448
B_plasma_IgG,Endothelia_vascular_Cap_a,0.10080341249704361
B_plasma_IgG,Endothelia_vascular_Cap_g,0.055251363664865494
